StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
00679B,39329000,7892,1152022480,29.22,29.36,29.21,29.33,0.19,2023-12-05
00687B,41268000,7838,1260827030,30.5,30.64,30.49,30.61,0.23,2023-12-05
00694B,152000,13,6064060,39.91,39.91,39.88,39.9,0.12,2023-12-05
00695B,118000,11,4059970,34.33,34.42,34.33,34.42,0.19,2023-12-05
00696B,8674000,545,268653220,30.94,31.06,30.93,31.03,0.22,2023-12-05
00697B,297000,62,10455170,35.21,35.22,35.16,35.22,0.15,2023-12-05
00718B,113000,8,2259980,20.0,20.0,19.99,20.0,0.0,2023-12-05
00719B,1865000,279,57847450,30.95,31.04,30.95,31.04,0.13,2023-12-05
00720B,27575000,7578,950704760,34.44,34.56,34.42,34.54,0.18,2023-12-05
00721B,54000,2,2426680,44.92,44.94,44.92,44.94,0.11,2023-12-05
00722B,4731000,970,176673500,37.31,37.4,37.28,37.36,0.16,2023-12-05
00723B,123000,11,4139560,33.59,33.67,33.59,33.64,0.11,2023-12-05
00724B,4474000,285,148898410,33.17,33.32,33.17,33.3,0.18,2023-12-05
00725B,3868000,706,142481260,36.81,36.9,36.79,36.88,0.16,2023-12-05
00726B,215000,42,7121360,33.14,33.14,33.09,33.14,0.14,2023-12-05
00727B,158000,20,6098530,38.53,38.63,38.53,38.62,0.21,2023-12-05
00734B,1014000,22,15575110,15.35,15.4,15.34,15.39,0.09,2023-12-05
00740B,4176000,193,164547390,39.39,39.49,39.34,39.45,0.18,2023-12-05
00741B,102000,6,3785690,37.09,37.12,37.09,37.1,0.07,2023-12-05
00746B,3540000,78,128058770,36.07,36.23,36.07,36.19,0.16,2023-12-05
00749B,102000,4,3181420,31.19,31.21,31.19,31.21,0.23,2023-12-05
00750B,100000,2,3500000,35.0,35.0,35.0,35.0,0.15,2023-12-05
00751B,20764000,3887,714174800,34.38,34.47,34.32,34.44,0.16,2023-12-05
00754B,110000,12,3979970,36.12,36.19,36.12,36.15,0.12,2023-12-05
00755B,156000,22,5189370,33.2,33.29,33.17,33.25,0.19,2023-12-05
00756B,322000,81,10325710,31.91,32.11,31.91,32.08,0.18,2023-12-05
00758B,102000,4,5293850,51.85,52.0,51.85,52.0,0.35,2023-12-05
00759B,126000,5,7048550,55.9,56.0,55.9,56.0,0.3,2023-12-05
00760B,303000,73,15767700,52.1,52.15,51.9,52.05,0.3,2023-12-05
00761B,406000,100,14769200,36.36,36.48,36.34,36.46,0.17,2023-12-05
00764B,3406000,500,103742860,30.36,30.52,30.36,30.5,0.24,2023-12-05
00768B,234000,26,12349900,52.7,52.95,52.7,52.95,0.5,2023-12-05
00772B,10734000,2420,377402320,35.1,35.25,35.07,35.21,0.17,2023-12-05
00773B,4343000,663,154997470,35.55,35.79,35.55,35.76,0.23,2023-12-05
00777B,116000,6,4039080,34.83,34.87,34.81,34.81,0.09,2023-12-05
00778B,103000,7,3641040,35.29,35.38,35.29,35.37,0.21,2023-12-05
00779B,142000,22,4358240,30.66,30.76,30.64,30.76,0.25,2023-12-05
00780B,175000,39,6243670,35.55,35.71,35.55,35.67,0.13,2023-12-05
00781B,128000,17,4208700,32.9,32.97,32.87,32.95,0.13,2023-12-05
00782B,923000,115,29163790,31.49,31.7,31.48,31.66,0.27,2023-12-05
00784B,100000,4,3673000,36.73,36.73,36.73,36.73,0.1,2023-12-05
00785B,100000,4,3455000,34.55,34.55,34.55,34.55,0.08,2023-12-05
00786B,657000,55,21629200,32.9,32.97,32.87,32.95,0.2,2023-12-05
00787B,645000,33,22219320,34.42,34.5,34.37,34.46,0.22,2023-12-05
00788B,908000,102,28183580,30.89,31.1,30.89,31.06,0.22,2023-12-05
00789B,207000,21,10709600,51.65,51.75,51.65,51.75,0.25,2023-12-05
00790B,100000,2,5235000,52.35,52.35,52.35,52.35,0.3,2023-12-05
00791B,100000,4,5445000,54.45,54.45,54.45,54.45,0.3,2023-12-05
00792B,80000,22,2667970,33.3,33.48,33.3,33.48,0.21,2023-12-05
00793B,120000,10,3920240,32.66,32.78,32.66,32.68,0.14,2023-12-05
00794B,110000,9,4319520,39.3,39.3,39.22,39.25,0.12,2023-12-05
00795B,6705000,1205,198543240,29.5,29.69,29.5,29.68,0.24,2023-12-05
00799B,213000,24,6836660,31.95,32.14,31.94,32.06,0.19,2023-12-05
00831B,3000,3,116330,38.75,38.79,38.75,38.79,0.19,2023-12-05
00834B,102000,4,3433200,33.6,33.66,33.6,33.66,0.2,2023-12-05
00836B,112000,6,3437220,30.72,30.72,30.68,30.68,0.13,2023-12-05
