StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
00679B,35209000,8790,1011623480,28.77,28.81,28.68,28.8,-0.06,2023-12-01
00687B,29983000,6329,897882880,29.95,30.02,29.89,30.02,-0.05,2023-12-01
00694B,150000,9,5964990,39.65,39.8,39.65,39.8,0.25,2023-12-01
00695B,174000,13,5934510,34.02,34.15,34.02,34.13,0.08,2023-12-01
00696B,8212000,460,249453220,30.39,30.45,30.32,30.45,-0.05,2023-12-01
00697B,161000,39,5620710,34.94,34.95,34.85,34.95,0.03,2023-12-01
00718B,119000,5,2379550,20.0,20.01,19.97,20.01,0.06,2023-12-01
00719B,1653000,290,51061180,30.88,30.96,30.82,30.95,0.15,2023-12-01
00720B,17653000,3672,598570640,33.9,33.99,33.88,33.99,0.04,2023-12-01
00721B,54000,4,2428210,44.89,44.97,44.89,44.97,0.08,2023-12-01
00722B,2750000,742,100871850,36.69,36.75,36.65,36.75,0.06,2023-12-01
00723B,104000,8,3438380,33.13,33.13,33.06,33.13,0.0,2023-12-01
00724B,2713000,196,88893580,32.72,32.8,32.71,32.78,0.02,2023-12-01
00725B,3316000,415,120361730,36.28,36.37,36.25,36.37,0.09,2023-12-01
00726B,214000,56,7026180,32.94,32.94,32.79,32.87,0.14,2023-12-01
00727B,114000,8,4372830,38.23,38.37,38.23,38.37,0.12,2023-12-01
00734B,1001000,15,15194780,15.18,15.19,15.14,15.18,0.02,2023-12-01
00740B,6115000,155,237603350,38.87,38.9,38.8,38.89,0.08,2023-12-01
00741B,109000,9,4035000,36.9,37.05,36.9,37.05,0.17,2023-12-01
00746B,3230000,52,115109170,35.55,35.7,35.55,35.68,0.07,2023-12-01
00749B,115000,3,3535400,30.76,30.76,30.74,30.74,-0.01,2023-12-01
00750B,100000,2,3449000,34.49,34.49,34.49,34.49,0.0,2023-12-01
00751B,15532000,3049,524516570,33.8,33.87,33.71,33.87,0.05,2023-12-01
00754B,152000,14,5394240,35.5,35.58,35.46,35.58,0.05,2023-12-01
00755B,193000,27,6295650,32.65,32.7,32.59,32.7,0.01,2023-12-01
00756B,411000,71,12966860,31.51,31.6,31.5,31.59,0.01,2023-12-01
00758B,101000,3,5136000,50.85,51.0,50.85,51.0,0.05,2023-12-01
00759B,148000,6,8140150,55.0,55.1,55.0,55.1,0.0,2023-12-01
00760B,203000,32,10457350,51.5,51.55,51.45,51.55,0.0,2023-12-01
00761B,451000,58,16129720,35.79,35.87,35.74,35.87,0.04,2023-12-01
00764B,2633000,437,78482030,29.85,29.91,29.77,29.91,-0.06,2023-12-01
00768B,648000,108,33561700,51.75,51.9,51.75,51.9,-0.05,2023-12-01
00772B,5909000,1408,204603800,34.64,34.69,34.58,34.69,0.06,2023-12-01
00773B,2697000,396,94928760,35.16,35.24,35.15,35.23,0.07,2023-12-01
00777B,102000,4,3510650,34.33,34.42,34.32,34.42,-0.05,2023-12-01
00778B,106000,6,3680020,34.67,34.72,34.67,34.72,0.01,2023-12-01
00779B,109000,7,3281760,30.12,30.16,30.0,30.16,-0.08,2023-12-01
00780B,58000,18,2051860,35.4,35.4,35.36,35.39,0.02,2023-12-01
00781B,138000,7,4456110,32.31,32.37,32.28,32.37,-0.06,2023-12-01
00782B,145000,21,4518400,31.23,31.23,31.11,31.19,0.06,2023-12-01
00784B,100000,4,3662000,36.62,36.62,36.62,36.62,0.18,2023-12-01
00785B,102000,6,3479740,34.12,34.12,34.11,34.12,0.01,2023-12-01
00786B,804000,57,26062900,32.41,32.48,32.38,32.46,0.06,2023-12-01
00787B,518000,16,17549290,33.8,33.95,33.8,33.95,0.06,2023-12-01
00788B,733000,73,22358380,30.46,30.55,30.46,30.55,-0.01,2023-12-01
00789B,244000,11,12405900,50.8,50.85,50.8,50.85,-0.05,2023-12-01
00790B,100000,2,5155000,51.55,51.55,51.55,51.55,0.0,2023-12-01
00791B,100000,4,5425000,54.25,54.25,54.25,54.25,0.3,2023-12-01
00792B,105000,9,3450290,32.85,32.89,32.83,32.89,-0.03,2023-12-01
00793B,100000,4,3212000,32.12,32.12,32.12,32.12,-0.13,2023-12-01
00794B,101000,5,3948190,39.09,39.19,39.09,39.19,0.13,2023-12-01
00795B,9848000,1233,286145970,29.07,29.13,29.0,29.12,-0.05,2023-12-01
00799B,129000,12,4079720,31.5,31.65,31.5,31.63,-0.02,2023-12-01
00831B,2000,2,77200,38.6,38.6,38.6,38.6,0.15,2023-12-01
00834B,110000,3,3639200,33.02,33.09,33.02,33.09,-0.02,2023-12-01
00836B,229000,12,6912190,30.17,30.23,30.15,30.23,0.01,2023-12-01
00840B,100000,2,3087000,30.87,30.87,30.87,30.87,-0.1,2023-12-01
00841B,100000,2,3064000,30.64,30.64,30.64,30.64,-0.08,2023-12-01
00842B,132000,12,4148280,31.42,31.46,31.36,31.46,0.0,2023-12-01
00844B,2000,2,62700,31.35,31.35,31.35,31.35,0.05,2023-12-01
00845B,101000,3,3159180,31.18,31.28,31.18,31.28,0.1,2023-12-01
00846B,103000,4,3433800,33.26,33.34,33.26,33.34,0.07,2023-12-01
00847B,205000,8,5377360,26.23,26.29,26.23,26.29,-0.02,2023-12-01
00848B,101000,5,3408300,33.74,33.8,33.74,33.8,0.12,2023-12-01
00849B,108000,7,3884130,35.91,35.98,35.91,35.98,0.1,2023-12-01
00853B,935000,88,26804250,28.67,28.72,28.63,28.72,0.06,2023-12-01
00856B,153000,9,5800860,37.84,37.95,37.82,37.93,0.14,2023-12-01
00857B,4007000,763,99941940,24.93,25.02,24.9,25.02,-0.03,2023-12-01
00858,267000,55,7408240,27.7,27.82,27.69,27.8,0.11,2023-12-01
00859B,360000,22,14708860,40.74,40.95,40.74,40.95,0.25,2023-12-01
00860B,104000,7,3881110,37.28,37.32,37.23,37.32,0.13,2023-12-01
00862B,730000,63,23232410,31.81,31.87,31.78,31.87,0.06,2023-12-01
00863B,114000,15,3688500,32.35,32.4,32.33,32.4,0.05,2023-12-01
00864B,918000,73,39556750,42.96,43.18,42.96,43.17,0.21,2023-12-01
