StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,11826560,9838,1321964557,111.2,112.2,111.15,111.8,0.5,2023-01-06
0051,15056,146,782491,51.75,52.0,51.75,51.85,0.1,2023-01-06
0052,277503,421,26110480,93.55,94.5,93.55,94.15,0.5,2023-01-06
0053,4999,1002,263499,52.7,53.05,52.7,53.05,0.35,2023-01-06
0055,445213,307,9705254,21.69,21.84,21.69,21.83,0.14,2023-01-06
0056,17681355,11065,452741734,25.45,25.68,25.45,25.66,0.2,2023-01-06
0057,3989,991,315786,79.4,79.6,79.2,79.6,0.55,2023-01-06
0061,188404,455,3608841,19.07,19.25,19.06,19.18,0.23,2023-01-06
006203,3696,402,199888,54.05,54.35,54.05,54.3,0.4,2023-01-06
006204,24063,889,1731194,71.65,72.05,71.65,72.0,0.4,2023-01-06
006205,1098340,465,35533726,32.22,32.5,32.15,32.32,0.3,2023-01-06
006206,81850,1068,2561705,31.0,31.47,31.0,31.26,0.29,2023-01-06
006207,123536,76,3131742,25.16,25.43,25.16,25.39,0.31,2023-01-06
006208,3468263,3942,219101426,62.8,63.45,62.75,63.2,0.4,2023-01-06
00625K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
00631L,5982725,2116,571442878,94.7,96.25,94.7,95.9,1.4,2023-01-06
00632R,215118304,8393,1254578394,5.87,5.87,5.8,5.82,-0.05,2023-01-06
00633L,9019933,1998,372217205,41.2,41.62,40.8,41.2,0.5,2023-01-06
00634R,2725430,94,11921014,4.4,4.4,4.36,4.39,-0.02,2023-01-06
00635U,960994,254,22746869,23.64,23.74,23.63,23.7,-0.19,2023-01-06
00636,1178653,1073,26115450,22.1,22.3,22.03,22.17,0.21,2023-01-06
00636K,200,2,1452,7.26,7.26,7.26,7.26,0.12,2023-01-06
00637L,88659675,9127,1444427452,16.23,16.43,16.13,16.29,0.18,2023-01-06
00638R,900155,135,8322675,9.26,9.3,9.21,9.26,-0.06,2023-01-06
00639,964070,717,12748833,13.16,13.29,13.05,13.18,0.16,2023-01-06
00640L,384978,117,10149766,26.25,26.53,26.19,26.44,0.26,2023-01-06
00641R,2741720,445,27696981,10.15,10.15,10.06,10.08,-0.05,2023-01-06
00642U,2093406,693,33364363,15.88,15.99,15.87,15.91,0.09,2023-01-06
00643,247565,871,3755133,15.14,15.22,15.04,15.12,0.11,2023-01-06
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
00645,92779,999,2326889,25.01,25.15,25.01,25.09,0.13,2023-01-06
00646,579712,625,21083169,36.33,36.41,36.29,36.36,-0.23,2023-01-06
00647L,63344,53,3115014,49.06,49.27,49.04,49.12,-0.7,2023-01-06
00648R,1929000,128,14727050,7.64,7.65,7.62,7.63,0.04,2023-01-06
00650L,9609051,1480,150050856,15.65,15.8,15.33,15.33,-0.07,2023-01-06
00651R,1600000,300,12744520,8.0,8.03,7.92,8.03,0.02,2023-01-06
00652,219346,832,6528952,29.95,29.95,29.65,29.68,-0.18,2023-01-06
00653L,272350,120,12150482,44.7,44.97,44.44,44.47,-0.44,2023-01-06
00654R,1197000,89,9548420,7.98,7.99,7.94,7.97,0.02,2023-01-06
00655L,2966221,799,86733036,29.17,29.49,28.92,29.2,0.36,2023-01-06
00656R,929000,68,7676020,8.28,8.3,8.23,8.26,-0.07,2023-01-06
00657,102806,810,3178980,30.88,30.93,30.88,30.92,0.19,2023-01-06
00657K,200,2,2010,10.05,10.05,10.05,10.05,0.03,2023-01-06
00660,5732,1015,165711,29.03,29.19,29.03,29.19,0.24,2023-01-06
00661,5040,5,166460,32.9,33.07,32.9,33.04,0.19,2023-01-06
00662,596021,799,25470061,42.7,42.81,42.67,42.68,-0.48,2023-01-06
00663L,137000,15,12041150,87.6,88.5,87.6,88.3,1.25,2023-01-06
00664R,7918308,542,52165608,6.62,6.62,6.56,6.57,-0.05,2023-01-06
00665L,23662643,2452,234243750,9.91,10.02,9.7,9.7,-0.05,2023-01-06
00666R,245000,59,3385240,13.91,13.96,13.75,13.96,0.05,2023-01-06
00668,13886,584,511809,36.91,36.91,36.87,36.87,-0.24,2023-01-06
00668K,200,2,2400,12.0,12.0,12.0,12.0,-0.05,2023-01-06
00669R,9015104,494,72810396,8.08,8.09,8.06,8.08,0.05,2023-01-06
00670L,4129015,1930,194906283,47.08,47.39,47.06,47.18,-1.0,2023-01-06
00671R,15346112,546,103546704,6.75,6.76,6.73,6.75,0.08,2023-01-06
00673R,21341087,1360,196767816,9.25,9.26,9.18,9.24,-0.05,2023-01-06
00674R,515032,147,6594039,12.81,12.83,12.78,12.81,0.1,2023-01-06
00675L,1098047,480,42086303,37.98,38.58,37.97,38.45,0.54,2023-01-06
00676R,9439249,455,34130192,3.64,3.64,3.6,3.61,-0.03,2023-01-06
00678,324551,336,8515068,26.17,26.26,26.17,26.24,0.14,2023-01-06
00680L,6573275,727,77058369,11.67,11.77,11.67,11.7,0.11,2023-01-06
00681R,196000,30,3593830,18.36,18.36,18.3,18.32,-0.08,2023-01-06
00682U,196328,84,4105567,20.91,20.94,20.88,20.94,0.18,2023-01-06
00683L,2873519,611,64002311,22.24,22.34,22.22,22.34,0.4,2023-01-06
00684R,5000,4,79350,15.87,15.87,15.87,15.87,-0.07,2023-01-06
00685L,114022,44,3871290,33.99,34.25,33.8,34.17,0.51,2023-01-06
00686R,231000,33,907340,3.95,3.95,3.91,3.92,-0.02,2023-01-06
00688L,581000,124,6746040,11.59,11.66,11.57,11.62,0.15,2023-01-06
00689R,248000,14,4726920,19.09,19.09,19.01,19.07,-0.03,2023-01-06
00690,394149,975,9980024,25.11,25.41,25.1,25.37,0.26,2023-01-06
00692,2624120,2068,71363871,27.07,27.31,27.07,27.24,0.17,2023-01-06
00693U,159280,36,4189740,26.4,26.4,26.27,26.34,-0.17,2023-01-06
00700,388047,262,5480294,14.2,14.25,13.95,13.95,-0.03,2023-01-06
00701,1314106,853,29437971,22.32,22.43,22.32,22.4,0.08,2023-01-06
00702,103824,823,2264743,21.82,21.83,21.79,21.82,-0.12,2023-01-06
00703,85301,905,1472712,17.49,17.49,17.23,17.28,0.21,2023-01-06
00706L,5285568,1161,53316106,10.12,10.12,10.06,10.07,-0.2,2023-01-06
00707R,372010,51,8928629,23.95,24.04,23.94,24.03,0.32,2023-01-06
00708L,1157400,237,29129844,25.07,25.28,25.06,25.16,-0.42,2023-01-06
00709,152216,1035,3519706,23.11,23.16,23.09,23.09,0.05,2023-01-06
00710B,225628,77,4003244,17.71,17.76,17.71,17.74,0.07,2023-01-06
00711B,118465,580,1881332,15.91,15.91,15.87,15.89,-0.04,2023-01-06
00712,1954958,1338,19585430,10.01,10.03,10.0,10.02,0.0,2023-01-06
00713,2758122,1955,102322693,37.01,37.15,37.01,37.1,0.09,2023-01-06
00714,336490,379,6208318,18.6,18.6,18.43,18.45,-0.42,2023-01-06
00715L,17334124,2798,234578026,13.44,13.64,13.39,13.52,0.16,2023-01-06
00717,409645,593,6048853,14.74,14.79,14.74,14.77,0.12,2023-01-06
00728,1754431,721,38764781,21.96,22.25,21.94,22.19,0.22,2023-01-06
00730,259355,362,4476671,17.18,17.3,17.18,17.22,0.09,2023-01-06
00731,1064296,138,57318298,53.8,54.0,53.75,53.85,0.05,2023-01-06
00732,100000,4,4129000,41.29,41.29,41.29,41.29,0.2,2023-01-06
00733,254123,272,8654910,34.07,34.2,33.95,33.99,-0.08,2023-01-06
00735,107106,1004,2640967,24.5,24.71,24.5,24.71,0.34,2023-01-06
00736,105961,952,2110682,19.87,19.94,19.86,19.86,0.11,2023-01-06
00737,102872,537,2489264,24.15,24.25,24.11,24.19,-0.28,2023-01-06
00738U,636838,189,14863888,23.33,23.46,23.26,23.41,-0.39,2023-01-06
00739,140875,924,3345197,23.57,23.91,23.57,23.76,0.26,2023-01-06
00752,4368795,1182,87194351,19.8,20.08,19.78,19.78,0.1,2023-01-06
00753L,19737040,3119,255960456,12.89,13.12,12.76,12.76,0.11,2023-01-06
00757,633637,1136,20602716,32.58,32.59,32.45,32.46,-0.53,2023-01-06
00762,203117,139,6043761,29.7,29.81,29.7,29.75,-0.31,2023-01-06
00763U,158000,41,3862600,24.42,24.69,24.36,24.69,0.86,2023-01-06
00770,2150700,1973,57566971,26.83,26.83,26.72,26.74,-0.48,2023-01-06
00771,216147,1015,3552748,16.46,16.5,16.4,16.44,0.06,2023-01-06
00774B,4894,1011,201712,41.35,41.41,41.35,41.41,0.26,2023-01-06
00774C,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
00775B,51611,614,1739393,33.71,33.73,33.71,33.73,0.1,2023-01-06
00783,217439,25,4516211,20.73,20.84,20.67,20.74,0.17,2023-01-06
00830,3213836,1562,73045281,22.71,22.77,22.65,22.74,-0.22,2023-01-06
00850,621154,776,17722818,28.35,28.61,28.35,28.56,0.21,2023-01-06
00851,48782,886,1077115,22.07,22.19,22.03,22.19,-0.25,2023-01-06
00852L,271200,126,5136418,18.92,18.99,18.91,18.95,-0.25,2023-01-06
00861,79858,130,2079517,26.0,26.1,25.93,26.05,-0.08,2023-01-06
00865B,317949,487,12799196,40.2,40.29,40.19,40.28,0.09,2023-01-06
00875,126228,153,3028243,23.92,24.03,23.92,23.99,-0.5,2023-01-06
00876,319496,266,7777079,24.19,24.47,24.16,24.4,0.13,2023-01-06
00878,29339092,15764,480717755,16.32,16.43,16.32,16.41,0.09,2023-01-06
00881,5856377,2935,80773813,13.66,13.86,13.66,13.83,0.17,2023-01-06
00882,6727105,2608,84224030,12.5,12.56,12.48,12.5,0.0,2023-01-06
00885,20774157,4532,241531707,11.62,11.67,11.59,11.61,0.03,2023-01-06
00891,7120534,2248,80305538,11.1,11.38,11.1,11.38,0.29,2023-01-06
00892,5541240,1546,56981783,10.06,10.37,10.06,10.37,0.26,2023-01-06
00893,10461770,3077,112470762,10.72,10.79,10.7,10.76,-0.05,2023-01-06
00894,821918,300,9628553,11.61,11.79,11.61,11.77,0.16,2023-01-06
00895,1791723,890,20470490,11.39,11.45,11.38,11.43,-0.05,2023-01-06
00896,919888,491,12061982,13.03,13.16,13.03,13.13,0.1,2023-01-06
00897,1560670,241,13028793,8.35,8.36,8.34,8.34,-0.07,2023-01-06
00898,265570,133,1935634,7.31,7.31,7.28,7.3,-0.02,2023-01-06
00899,151767,223,3284038,21.76,21.76,21.59,21.65,-0.44,2023-01-06
00900,6733938,2375,71129134,10.5,10.62,10.47,10.6,0.15,2023-01-06
00901,517990,248,5992353,11.48,11.62,11.48,11.61,0.13,2023-01-06
00902,8011777,1833,99204118,12.25,12.52,12.23,12.44,0.18,2023-01-06
00903,2543672,583,20176864,7.92,7.95,7.91,7.93,-0.09,2023-01-06
00904,1568688,328,16673633,10.5,10.72,10.5,10.72,0.23,2023-01-06
00905,745271,363,6291231,8.41,8.48,8.41,8.47,0.07,2023-01-06
