公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註,日期
1101,台泥,7517896,10821264,8084465,-30.52,-7.0,7517896,8084465,-7.0,,20220110
1102,亞泥,7420726,9403723,7436331,-21.08,-0.2,7420726,7436331,-0.2,,20220110
1103,嘉泥,158052,171518,195482,-7.85,-19.14,158052,195482,-19.14,,20220110
1104,環泥,592322,569625,511466,3.98,15.8,592322,511466,15.8,,20220110
1108,幸福,324664,319368,417355,1.65,-22.2,324664,417355,-22.2,,20220110
1109,信大,566897,777783,739226,-27.11,-23.31,566897,739226,-23.31,,20220110
1110,東泥,166858,184874,137866,-9.74,21.02,166858,137866,21.02,,20220110
1201,味全,1668787,1614562,1461118,3.35,14.21,1668787,1461118,14.21,,20220110
1203,味王,564100,507831,545268,11.08,3.45,564100,545268,3.45,,20220110
1210,大成,9956918,9224406,8480630,7.94,17.4,9956918,8480630,17.4,,20220110
1213,大飲,45833,31545,32550,45.29,40.8,45833,32550,40.8,,20220110
1215,卜蜂,2672823,2438193,2037460,9.62,31.18,2672823,2037460,31.18,,20220110
1216,統一,48049485,37291418,45194815,28.84,6.31,48049485,45194815,6.31,,20220110
1217,愛之味,442813,314921,411016,40.61,7.73,442813,411016,7.73,,20220110
1218,泰山,978592,816534,845756,19.84,15.7,978592,845756,15.7,,20220110
1219,福壽,1433167,1383471,1326083,3.59,8.07,1433167,1326083,8.07,,20220110
1220,台榮,322989,316808,262424,1.95,23.07,322989,262424,23.07,,20220110
1225,福懋油,1291723,1251774,1076979,3.19,19.93,1291723,1076979,19.93,,20220110
1227,佳格,3169810,3562124,4585987,-11.01,-30.88,3169810,4585987,-30.88,,20220110
1229,聯華,873750,1166930,761338,-25.12,14.76,873750,761338,14.76,,20220110
1231,聯華食,1024108,1063115,949444,-3.66,7.86,1024108,949444,7.86,,20220110
1232,大統益,2063315,1782666,1659919,15.74,24.3,2063315,1659919,24.3,,20220110
1233,天仁,188123,192899,170575,-2.47,10.28,188123,170575,10.28,,20220110
1234,黑松,940229,881319,835074,6.68,12.59,940229,835074,12.59,,20220110
1235,興泰,1218,1227,1833,-0.73,-33.55,1218,1833,-33.55,,20220110
1236,宏亞,283748,263522,329513,7.67,-13.88,283748,329513,-13.88,,20220110
1256,鮮活果汁-KY,382345,326762,470300,17.01,-18.7,382345,470300,-18.7,,20220110
1702,南僑,1809151,2070357,1747421,-12.61,3.53,1809151,1747421,3.53,,20220110
1737,臺鹽,339010,547775,280603,-38.11,20.81,339010,280603,20.81,,20220110
3054,立萬利,3939,2909,6420,35.4,-38.64,3939,6420,-38.64,,20220110
1301,台塑,23937795,25199437,19215607,-5.0,24.57,23937795,19215607,24.57,,20220110
1303,南亞,35266502,34539153,29346765,2.1,20.17,35266502,29346765,20.17,,20220110
1304,台聚,6100816,5787813,5316928,5.4,14.74,6100816,5316928,14.74,,20220110
1305,華夏,1890241,1338864,1603671,41.18,17.86,1890241,1603671,17.86,,20220110
1307,三芳,837560,678141,949887,23.5,-11.82,837560,949887,-11.82,,20220110
1308,亞聚,759128,916679,653244,-17.18,16.2,759128,653244,16.2,,20220110
1309,台達化,1480381,1560037,1456463,-5.1,1.64,1480381,1456463,1.64,,20220110
1310,台苯,1118245,919556,730042,21.6,53.17,1118245,730042,53.17,,20220110
1312,國喬,1637284,1760112,1739674,-6.97,-5.88,1637284,1739674,-5.88,,20220110
1313,聯成,5982448,7605814,5994488,-21.34,-0.2,5982448,5994488,-0.2,,20220110
1314,中石化,2541068,2916368,2541752,-12.86,-0.02,2541068,2541752,-0.02,,20220110
1315,達新,227241,197286,185347,15.18,22.6,227241,185347,22.6,,20220110
1321,大洋,596974,530841,464301,12.45,28.57,596974,464301,28.57,,20220110
1323,永裕,364733,354010,279444,3.02,30.52,364733,279444,30.52,,20220110
1324,地球,87732,101103,82015,-13.22,6.97,87732,82015,6.97,,20220110
1325,恆大,67973,53580,218816,26.86,-68.93,67973,218816,-68.93,,20220110
1326,台化,30314286,31274998,26749217,-3.07,13.32,30314286,26749217,13.32,,20220110
1337,再生-KY,63028,51042,107554,23.48,-41.39,63028,107554,-41.39,,20220110
1340,勝悅-KY,35025,69361,57252,-49.5,-38.82,35025,57252,-38.82,,20220110
1341,富林-KY,219638,291644,228998,-24.68,-4.08,219638,228998,-4.08,,20220110
4306,炎洲,1294378,1427390,1288713,-9.31,0.43,1294378,1288713,0.43,,20220110
1402,遠東新,20470940,22302476,19154653,-8.21,6.87,20470940,19154653,6.87,,20220110
1409,新纖,4120985,3704921,3145297,11.23,31.02,4120985,3145297,31.02,,20220110
1410,南染,21405,28325,36064,-24.43,-40.64,21405,36064,-40.64,,20220110
1413,宏洲,285966,262444,202561,8.96,41.17,285966,202561,41.17,,20220110
1414,東和,57978,71240,69139,-18.61,-16.14,57978,69139,-16.14,,20220110
1417,嘉裕,131332,152265,126957,-13.74,3.44,131332,126957,3.44,,20220110
1418,東華,1751,909,6471,92.62,-72.94,1751,6471,-72.94,,20220110
1419,新紡,260430,299528,192552,-13.05,35.25,260430,192552,35.25,,20220110
1423,利華,18968,20778,17467,-8.71,8.59,18968,17467,8.59,,20220110
1434,福懋,2904198,2962335,2591722,-1.96,12.05,2904198,2591722,12.05,,20220110
