代號,名稱,前日餘額,賣出,買進,現券,今日餘額,限額,前日餘額,當日賣出,當日還券,當日調整,當日餘額,次一營業日可限額,備註,日期
0050,元大台灣50,"135,000",0,"11,000",0,"124,000","577,750,000","13,454,000","120,000","38,000",0,"13,536,000","3,702,592", ,20231215
0051,元大中型100,"1,000",0,0,0,"1,000","4,375,000","53,000",0,0,0,"53,000","22,869", ,20231215
0052,富邦科技,"4,000",0,0,0,"4,000","10,625,000","444,000",0,0,0,"444,000","113,671", ,20231215
0053,元大電子,0,0,0,0,0,"1,247,000","10,000",0,0,0,"10,000","3,523",X ,20231215
0055,元大MSCI金融,0,0,0,0,0,"18,163,500","187,000",0,0,0,"187,000","68,587", ,20231215
0056,元大高股息,"851,000","6,000",0,0,"857,000","1,703,008,500","45,397,000","348,000",0,0,"45,745,000","6,915,757", ,20231215
0057,富邦摩台,0,0,0,0,0,"381,750",0,0,0,0,0,"2,135",X ,20231215
0061,元大寶滬深,0,0,0,0,0,"32,529,000","169,000",0,0,0,"169,000","65,918", ,20231215
006203,元大MSCI台灣,0,0,0,0,0,"2,554,500",0,0,0,0,0,"1,517",X ,20231215
006204,永豐臺灣加權,0,0,0,0,0,"375,000",0,0,0,0,0,"7,125", ,20231215
006205,富邦上証,"2,000",0,0,0,"2,000","46,227,250","962,000",0,0,0,"962,000","320,614", ,20231215
006206,元大上證50,0,0,0,0,0,"13,694,500","480,000","87,000",0,0,"567,000","61,883", ,20231215
006207,復華滬深,0,0,0,0,0,"8,473,000","771,000",0,0,0,"771,000","87,326", ,20231215
006208,富邦台50,"1,000",0,0,0,"1,000","221,760,000","14,291,000",0,0,0,"14,291,000","1,110,624", ,20231215
00631L,元大台灣50正2,"1,450,000","38,000","45,000",0,"1,443,000","25,896,000","2,391,000","36,000",0,0,"2,427,000","987,060", ,20231215
00632R,元大台灣50反1,"3,093,000","1,033,000","1,005,000",0,"3,121,000","1,931,287,250","348,421,000",0,"1,656,000",0,"346,765,000","26,398,374", ,20231215
00633L,富邦上証正2,"793,000","18,000","35,000",0,"776,000","83,239,500","18,415,000","722,000",0,0,"19,137,000","1,887,505", ,20231215
00634R,富邦上証反1,"22,000",0,0,0,"22,000","14,189,000","23,000",0,0,0,"23,000","152,218", ,20231215
00635U,期元大S&P黃金,"5,000",0,0,0,"5,000","8,878,500","244,000",0,0,0,"244,000","123,059", ,20231215
00636,國泰中國A50,"5,000",0,0,0,"5,000","57,706,250","2,655,000",0,"80,000",0,"2,575,000","392,135", ,20231215
00637L,元大滬深300正2,"1,490,000","70,000","47,000",0,"1,513,000","516,151,500","112,118,000","576,000",0,0,"112,694,000","18,078,924", ,20231215
00638R,元大滬深300反1,0,0,0,0,0,"6,487,000","393,000","50,000",0,0,"443,000","223,221", ,20231215
00639,富邦深100,0,0,0,0,0,"37,350,750","781,000",0,0,0,"781,000","135,581", ,20231215
00640L,富邦日本正2,"161,000","10,000",0,0,"171,000","3,979,750","156,000","5,000",0,0,"161,000","260,401", ,20231215
00641R,富邦日本反1,"6,000",0,0,0,"6,000","10,564,500","1,413,000",0,0,0,"1,413,000","157,751", ,20231215
00642U,期元大S&P石油,"96,000","4,000",0,0,"100,000","55,080,250","960,000",0,0,0,"960,000","1,829,226", ,20231215
00643,群益深証中小,0,0,0,0,0,"25,143,250","1,609,000",0,0,0,"1,609,000","118,754", ,20231215
00645,富邦日本,0,0,0,0,0,"14,749,250","691,000",0,0,0,"691,000","199,801", ,20231215
