股票代號,股票名稱,買進,賣出,現金償還,前日餘額,今日餘額,限額,買進,賣出,現券償還,前日餘額,今日餘額,限額,資券互抵,註記,日期
0050,元大台灣50,28,42,0,585,571,"577,750",11,0,0,135,124,"577,750",0, ,20231215
0051,元大中型100,0,4,0,84,80,"4,375",0,0,0,1,1,"4,375",0, ,20231215
0052,富邦科技,0,11,0,40,29,"10,625",0,0,0,4,4,"10,625",0, ,20231215
0053,元大電子,0,0,0,0,0,"1,247",0,0,0,0,0,"1,247",0,X ,20231215
0055,元大MSCI金融,20,0,0,136,156,"18,163",0,0,0,0,0,"18,163",0, ,20231215
0056,元大高股息,311,292,0,"3,660","3,679","1,703,008",0,6,0,851,857,"1,703,008",0, ,20231215
0057,富邦摩台,0,0,0,0,0,381,0,0,0,0,0,381,0,X ,20231215
0061,元大寶滬深,20,25,0,437,432,"32,529",0,0,0,0,0,"32,529",0, ,20231215
006203,元大MSCI台灣,0,0,0,0,0,"2,554",0,0,0,0,0,"2,554",0,X ,20231215
006204,永豐臺灣加權,0,0,0,3,3,375,0,0,0,0,0,375,0, ,20231215
006205,富邦上証,1,0,0,840,841,"46,227",0,0,0,2,2,"46,227",1, ,20231215
006206,元大上證50,1,5,0,227,223,"13,694",0,0,0,0,0,"13,694",0, ,20231215
006207,復華滬深,0,0,0,27,27,"8,473",0,0,0,0,0,"8,473",0, ,20231215
006208,富邦台50,8,10,3,137,132,"221,760",0,0,0,1,1,"221,760",0, ,20231215
00631L,元大台灣50正2,115,217,1,"3,043","2,940","25,896",45,38,0,"1,450","1,443","25,896",1, ,20231215
00632R,元大台灣50反1,"7,001","7,444",30,"650,296","649,823","1,931,287","1,005","1,033",0,"3,093","3,121","1,931,287",0, ,20231215
00633L,富邦上証正2,"1,105",639,96,"44,395","44,765","83,239",35,18,0,793,776,"83,239",28, ,20231215
00634R,富邦上証反1,8,14,0,"1,456","1,450","14,189",0,0,0,22,22,"14,189",0, ,20231215
00635U,期元大S&P黃金,13,77,0,190,126,"8,878",0,0,0,5,5,"8,878",0, ,20231215
00636,國泰中國A50,50,0,0,491,541,"57,706",0,0,0,5,5,"57,706",0, ,20231215
00637L,元大滬深300正2,"8,236","4,293",900,"326,722","329,765","516,151",47,70,0,"1,490","1,513","516,151",347, ,20231215
00638R,元大滬深300反1,24,27,0,354,351,"6,487",0,0,0,0,0,"6,487",0, ,20231215
00639,富邦深100,4,4,0,917,917,"37,350",0,0,0,0,0,"37,350",0, ,20231215
00640L,富邦日本正2,26,78,0,"1,456","1,404","3,979",0,10,0,161,171,"3,979",0, ,20231215
00641R,富邦日本反1,115,143,0,"6,567","6,539","10,564",0,0,0,6,6,"10,564",6, ,20231215
00642U,期元大S&P石油,145,"1,225",1,"6,506","5,425","55,080",0,4,0,96,100,"55,080",0, ,20231215
00643,群益深証中小,4,0,0,855,859,"25,143",0,0,0,0,0,"25,143",0, ,20231215
00645,富邦日本,9,73,0,162,98,"14,749",0,0,0,0,0,"14,749",0, ,20231215
00646,元大S&P500,0,0,0,13,13,"102,746",0,0,0,0,0,"102,746",0, ,20231215
00647L,元大S&P500正2,0,11,0,383,372,"1,979",0,0,0,27,27,"1,979",0, ,20231215
00648R,元大S&P500反1,2,9,0,"9,854","9,847","38,547",3,0,0,335,332,"38,547",0, ,20231215
00650L,復華香港正2,"2,038","2,994",40,"44,428","43,432","65,709",56,524,0,508,976,"65,709",39, ,20231215
00651R,復華香港反1,116,32,0,"1,746","1,830","5,548",0,0,0,18,18,"5,548",0, ,20231215
00652,富邦印度,3,5,0,195,193,"10,758",0,0,0,0,0,"10,758",0, ,20231215
00653L,富邦印度正2,26,14,0,365,377,"2,850",1,1,0,51,51,"2,850",0, ,20231215
00654R,富邦印度反1,0,0,0,"1,977","1,977","6,116",0,0,0,28,28,"6,116",0, ,20231215
00655L,國泰中國A50正2,248,134,10,"14,620","14,724","38,739",98,6,0,207,115,"38,739",26, ,20231215
00656R,國泰中國A50反1,0,21,0,131,110,"3,964",0,0,0,5,5,"3,964",0, ,20231215
00657,國泰日經225,0,2,0,137,135,"3,721",0,0,0,0,0,"3,721",0, ,20231215
00660,元大歐洲50,0,0,0,1,1,"2,007",0,0,0,0,0,"2,007",0, ,20231215
00661,元大日經225,0,4,0,53,49,"7,356",0,0,0,0,0,"7,356",0, ,20231215
00662,富邦NASDAQ,0,3,0,154,151,"92,132",0,0,0,0,0,"92,132",0, ,20231215
00663L,國泰臺灣加權正2,1,0,0,11,12,452,0,0,0,0,0,452,0, ,20231215
00664R,國泰臺灣加權反1,"1,221",536,0,"32,010","32,695","95,768",14,10,0,351,347,"95,768",0, ,20231215
00665L,富邦恒生國企正2,"4,723","9,735",37,"142,984","137,935","186,866",293,"1,092",0,"1,027","1,826","186,866","1,527", ,20231215
00666R,富邦恒生國企反1,3,20,0,176,159,"2,031",0,0,0,1,1,"2,031",0, ,20231215
00668,國泰美國道瓊,0,3,0,18,15,"1,488",0,0,0,0,0,"1,488",0, ,20231215
00669R,國泰美國道瓊反1,"1,675",99,0,"29,235","30,811","64,779",0,7,0,126,133,"64,779",0, ,20231215
