StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
00679B,90491000,15177,2791616170,30.8,30.93,30.75,30.92,0.28,2023-12-15
00687B,129695000,19030,4175543700,32.15,32.25,32.09,32.21,0.41,2023-12-15
00694B,168000,21,6697600,39.87,39.89,39.84,39.86,-0.06,2023-12-15
00695B,129000,26,4514800,34.92,35.05,34.92,34.99,0.08,2023-12-15
00696B,7693000,831,251166680,32.53,32.7,32.53,32.65,0.41,2023-12-15
00697B,1282000,156,45946350,35.82,35.89,35.75,35.81,0.03,2023-12-15
00718B,163000,21,3265380,20.0,20.09,19.99,20.09,0.11,2023-12-15
00719B,2531000,568,78340400,30.97,31.0,30.92,30.93,-0.05,2023-12-15
00720B,37176000,7394,1352981790,36.31,36.45,36.31,36.45,0.51,2023-12-15
00721B,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
00722B,5531000,1203,218033880,39.41,39.49,39.32,39.42,0.51,2023-12-15
00723B,168000,12,5908000,35.13,35.21,35.13,35.17,0.4,2023-12-15
00724B,3853000,412,134574350,34.86,34.98,34.85,34.93,0.34,2023-12-15
00725B,4592000,864,176484440,38.34,38.48,38.33,38.44,0.38,2023-12-15
00726B,483000,102,16409250,33.84,34.03,33.84,34.0,0.19,2023-12-15
00727B,129000,11,5009600,38.82,38.85,38.8,38.84,0.2,2023-12-15
00734B,1012000,26,16019890,15.82,15.84,15.79,15.81,0.12,2023-12-15
00740B,4775000,247,196265740,41.09,41.14,41.01,41.1,0.41,2023-12-15
00741B,118000,10,4433960,37.55,37.58,37.55,37.58,0.38,2023-12-15
00746B,4294000,92,162046120,37.77,37.78,37.67,37.72,0.34,2023-12-15
00749B,131000,9,4246190,32.36,32.44,32.3,32.44,0.42,2023-12-15
00750B,113000,7,4111020,36.39,36.39,36.38,36.38,0.27,2023-12-15
00751B,35439000,6816,1285541210,36.22,36.34,36.19,36.3,0.49,2023-12-15
00754B,189000,21,7145370,37.78,37.85,37.78,37.8,0.47,2023-12-15
00755B,186000,42,6521400,34.81,35.09,34.81,35.05,0.38,2023-12-15
00756B,690000,105,23148800,33.33,33.67,33.33,33.66,0.48,2023-12-15
00758B,100000,2,5395000,53.95,53.95,53.95,53.95,0.65,2023-12-15
00759B,102000,3,5997500,58.75,58.8,58.75,58.8,0.75,2023-12-15
00760B,173000,21,9323550,53.65,54.0,53.65,53.8,0.3,2023-12-15
00761B,780000,137,29729800,38.06,38.18,38.04,38.14,0.38,2023-12-15
00764B,4039000,806,129850990,32.03,32.21,32.03,32.18,0.49,2023-12-15
00768B,193000,22,10728750,55.4,55.75,55.4,55.65,0.8,2023-12-15
00772B,14914000,3803,550027380,36.86,36.94,36.81,36.9,0.4,2023-12-15
00773B,4611000,896,173185410,37.52,37.62,37.5,37.57,0.44,2023-12-15
00777B,127000,11,4661100,36.63,36.73,36.59,36.73,0.47,2023-12-15
00778B,102000,6,3805590,37.29,37.31,37.29,37.31,0.36,2023-12-15
00779B,132000,23,4317070,32.43,32.75,32.43,32.74,0.6,2023-12-15
00780B,262000,46,9572430,36.45,36.61,36.45,36.53,0.13,2023-12-15
00781B,328000,29,11292270,34.48,34.48,34.36,34.44,0.44,2023-12-15
00782B,670000,106,22339680,33.5,33.5,33.22,33.39,0.42,2023-12-15
00784B,100000,4,3718750,37.21,37.21,37.18,37.18,0.12,2023-12-15
00785B,198000,16,7162880,36.15,36.24,36.15,36.16,0.38,2023-12-15
00786B,753000,83,26028560,34.53,34.6,34.5,34.6,0.34,2023-12-15
00787B,740000,69,26678730,36.13,36.13,36.01,36.05,0.34,2023-12-15
00788B,1017000,173,33197830,32.68,32.69,32.57,32.68,0.41,2023-12-15
00789B,357000,24,19451000,54.25,54.5,54.25,54.45,0.7,2023-12-15
00790B,100000,2,5435000,54.35,54.35,54.35,54.35,0.35,2023-12-15
00791B,100000,4,5455000,54.55,54.55,54.55,54.55,0.05,2023-12-15
00792B,93000,14,3274750,34.97,35.29,34.97,35.23,0.36,2023-12-15
00793B,131000,12,4498800,34.29,34.36,34.28,34.36,0.57,2023-12-15
00794B,115000,9,4513010,39.31,39.31,39.24,39.24,0.19,2023-12-15
00795B,12589000,2381,392486870,31.08,31.23,31.07,31.2,0.4,2023-12-15
00799B,535000,50,17858270,33.41,33.48,33.22,33.48,0.35,2023-12-15
00831B,2000,2,77400,38.7,38.7,38.7,38.7,-0.07,2023-12-15
00834B,149000,9,5264210,35.26,35.34,35.26,35.34,0.39,2023-12-15
00836B,136000,12,4397420,32.31,32.39,32.3,32.32,0.37,2023-12-15
00840B,102000,3,3364000,33.0,33.0,32.98,32.98,0.38,2023-12-15
00841B,102000,3,3338520,32.76,32.76,32.73,32.73,0.36,2023-12-15
00842B,153000,14,5153650,33.6,33.71,33.6,33.69,0.38,2023-12-15
00844B,2000,2,67040,33.52,33.52,33.52,33.52,0.34,2023-12-15
00845B,142000,10,4593450,32.29,32.4,32.29,32.36,0.32,2023-12-15
00846B,121000,7,4176420,34.49,34.52,34.49,34.52,0.3,2023-12-15
00847B,234000,19,6533070,27.88,27.94,27.87,27.93,0.32,2023-12-15
00848B,110000,5,3875800,35.23,35.26,35.22,35.22,0.4,2023-12-15
00849B,120000,8,4334970,36.13,36.13,36.12,36.13,0.01,2023-12-15
00853B,1320000,162,40231230,30.32,30.5,30.32,30.49,0.28,2023-12-15
00856B,158000,27,6012520,38.0,38.07,38.0,38.01,0.0,2023-12-15
00857B,7734000,1637,207226300,26.75,26.84,26.74,26.82,0.33,2023-12-15
00858,301000,91,8593260,28.49,28.56,28.49,28.56,-0.03,2023-12-15
00859B,485000,25,19768950,40.78,40.79,40.73,40.73,-0.06,2023-12-15
00860B,127000,17,4796290,37.78,37.79,37.67,37.79,0.14,2023-12-15
00862B,835000,158,28444630,34.01,34.11,34.0,34.05,0.44,2023-12-15
00863B,158000,11,5448060,34.47,34.5,34.44,34.48,0.35,2023-12-15
00864B,1500000,101,64525010,42.91,43.09,42.91,43.01,-0.09,2023-12-15
00867B,277000,22,9288580,33.55,33.56,33.51,33.51,0.38,2023-12-15
00870B,88000,19,2670590,30.1,30.41,30.1,30.38,0.63,2023-12-15
00877,1519000,195,15420550,10.2,10.23,10.09,10.13,-0.07,2023-12-15
00883B,223000,24,7502710,33.53,33.67,33.53,33.62,0.47,2023-12-15
00884B,219000,14,6816450,31.04,31.14,31.04,31.11,0.56,2023-12-15
00886,34000,6,901090,26.49,26.51,26.49,26.5,-0.17,2023-12-15
