StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,18914190,13945,2533436503,133.65,134.2,133.65,133.7,0.55,2023-12-15
0051,60816,245,4387012,72.2,72.3,71.85,72.05,-0.1,2023-12-15
0052,175248,396,22152227,126.5,127.0,125.95,125.95,-0.3,2023-12-15
0053,10289,972,724548,70.5,70.5,70.4,70.45,0.0,2023-12-15
0055,321560,415,7763237,24.15,24.27,24.08,24.1,0.0,2023-12-15
0056,29554677,22395,1077482016,36.63,36.7,36.35,36.36,-0.19,2023-12-15
0057,18103,1006,1778593,98.35,98.45,98.15,98.15,0.4,2023-12-15
0061,336075,911,5420261,16.17,16.19,16.03,16.05,-0.06,2023-12-15
006203,2935,19,191047,65.0,65.1,65.0,65.1,0.55,2023-12-15
006204,29889,943,2645362,88.8,88.8,88.35,88.35,0.4,2023-12-15
006205,2004062,426,54926799,27.31,27.56,27.18,27.2,-0.11,2023-12-15
006206,348758,116,9128740,26.1,26.35,26.0,26.08,-0.02,2023-12-15
006207,540262,1062,11432831,21.19,21.26,21.02,21.02,-0.05,2023-12-15
006208,7959466,6485,606378975,76.15,76.3,75.95,76.05,0.25,2023-12-15
00625K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
00631L,3202602,2043,476958173,149.1,149.5,148.35,148.35,0.65,2023-12-15
00632R,79953917,4285,362018443,4.52,4.54,4.52,4.53,-0.02,2023-12-15
00633L,9670910,2411,273179453,28.12,28.73,27.75,27.87,-0.16,2023-12-15
00634R,203130,39,1032811,5.09,5.12,5.04,5.11,0.01,2023-12-15
00635U,461041,171,11375078,24.63,24.71,24.62,24.69,0.02,2023-12-15
00636,3288440,1315,61134074,18.6,18.72,18.43,18.46,-0.05,2023-12-15
00636K,200,2,1194,5.97,5.97,5.97,5.97,0.02,2023-12-15
00637L,80591237,9407,902810370,11.16,11.37,11.01,11.05,-0.05,2023-12-15
00638R,149000,55,1594720,10.73,10.79,10.62,10.77,0.0,2023-12-15
00639,2806648,1297,28408738,10.11,10.19,10.04,10.04,-0.07,2023-12-15
00640L,694638,240,28727384,41.33,41.58,41.12,41.16,0.13,2023-12-15
00641R,669113,111,5159450,7.71,7.74,7.69,7.74,-0.02,2023-12-15
00642U,8721510,2163,137458820,15.72,15.81,15.72,15.78,0.45,2023-12-15
00643,2941728,437,34405645,11.72,11.76,11.61,11.62,-0.04,2023-12-15
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
00645,1968126,1153,62750211,31.9,31.97,31.78,31.83,0.05,2023-12-15
00646,1798861,1233,82600303,46.0,46.0,45.88,45.96,-0.06,2023-12-15
00647L,135857,53,9370920,69.0,69.1,68.75,69.0,-0.25,2023-12-15
00648R,497250,81,3114202,6.26,6.27,6.25,6.26,0.01,2023-12-15
00650L,22681101,2537,208656346,8.99,9.4,8.98,9.19,0.36,2023-12-15
00651R,991027,155,9447237,9.66,9.67,9.43,9.55,-0.22,2023-12-15
00652,815393,1018,28326124,34.6,34.88,34.6,34.81,0.21,2023-12-15
00653L,252972,129,13988847,55.1,55.4,55.0,55.2,0.65,2023-12-15
00654R,155015,38,1081702,6.99,6.99,6.97,6.98,-0.06,2023-12-15
00655L,5130542,944,101088419,19.64,20.04,19.35,19.4,-0.1,2023-12-15
00656R,1648000,30,15822990,9.6,9.66,9.52,9.66,0.06,2023-12-15
00657,540774,322,21207435,39.19,39.29,39.1,39.1,0.47,2023-12-15
00657K,200,2,2510,12.55,12.55,12.55,12.55,0.17,2023-12-15
00660,67237,12,2232253,33.2,33.24,33.09,33.24,0.0,2023-12-15
00661,1618990,1082,68380939,42.11,42.34,42.11,42.11,0.33,2023-12-15
00662,2251263,1339,150267764,67.05,67.05,66.6,66.65,-0.6,2023-12-15
00663L,6028,10,831156,138.05,138.25,137.4,137.4,0.7,2023-12-15
00664R,9481973,419,48342184,5.1,5.11,5.09,5.11,-0.01,2023-12-15
00665L,58786934,4346,332232328,5.54,5.77,5.53,5.61,0.19,2023-12-15
00666R,519002,54,8590632,16.62,16.73,16.35,16.61,-0.35,2023-12-15
00668,404498,687,17125528,42.31,42.42,42.3,42.39,0.11,2023-12-15
00668K,200,2,2708,13.54,13.54,13.54,13.54,0.03,2023-12-15
00669R,4214863,402,30832657,7.32,7.33,7.3,7.31,-0.02,2023-12-15
00670L,1159436,682,111989061,96.55,96.75,96.4,96.65,-1.25,2023-12-15
00671R,17946015,386,79669625,4.44,4.45,4.42,4.43,0.04,2023-12-15
00673R,25806741,1733,216850259,8.43,8.43,8.37,8.41,-0.26,2023-12-15
00674R,1324450,165,15879171,12.0,12.01,11.98,11.98,-0.03,2023-12-15
00675L,950745,799,57345931,60.4,60.55,60.05,60.1,0.25,2023-12-15
00676R,4876713,318,13763699,2.82,2.83,2.81,2.83,0.0,2023-12-15
00678,368078,1039,9694298,26.4,26.44,26.3,26.4,0.13,2023-12-15
00680L,152615098,11864,1528864616,10.02,10.07,9.98,10.04,0.19,2023-12-15
00681R,400343,97,7657302,19.17,19.17,19.1,19.14,-0.23,2023-12-15
00682U,40466,36,827429,20.45,20.46,20.43,20.45,-0.12,2023-12-15
00683L,1056134,136,22537762,21.46,21.46,21.31,21.32,-0.31,2023-12-15
00684R,13000,8,207910,16.0,16.0,15.98,15.98,0.06,2023-12-15
00685L,210030,69,11250144,53.65,53.75,53.3,53.4,0.25,2023-12-15
00686R,338100,23,1028436,3.04,3.05,3.04,3.05,-0.01,2023-12-15
00688L,78177089,6144,769295911,9.83,9.87,9.8,9.86,0.26,2023-12-15
00689R,124200,34,2464742,19.91,19.91,19.83,19.85,-0.28,2023-12-15
00690,1248818,1384,36175895,28.95,29.03,28.92,28.93,0.14,2023-12-15
00692,4457787,1966,143529899,32.21,32.26,32.11,32.15,0.08,2023-12-15
00693U,46536,33,1260769,27.05,27.11,27.05,27.1,0.13,2023-12-15
00700,475693,1106,5338738,11.11,11.32,11.03,11.21,0.26,2023-12-15
00701,1249367,576,32949914,26.4,26.41,26.31,26.31,-0.02,2023-12-15
00702,116944,1013,2517340,21.5,21.56,21.5,21.56,0.13,2023-12-15
00703,52070,943,732180,13.94,14.16,13.94,13.96,0.23,2023-12-15
00706L,20088477,1734,159204527,7.88,7.97,7.87,7.96,0.04,2023-12-15
00707R,35000,7,925080,26.44,26.44,26.38,26.38,0.01,2023-12-15
00708L,931338,229,25279247,27.1,27.22,27.08,27.22,0.14,2023-12-15
00709,24377,820,649551,26.64,26.7,26.64,26.7,0.2,2023-12-15
00710B,532696,154,10057147,18.87,18.9,18.86,18.87,0.0,2023-12-15
00711B,202326,976,3321201,16.35,16.44,16.35,16.41,0.22,2023-12-15
00712,80650308,14597,834596401,10.28,10.4,10.27,10.38,0.3,2023-12-15
00713,10376603,8157,532077156,51.4,51.55,51.15,51.15,-0.2,2023-12-15
00714,853113,387,17014452,19.88,20.01,19.82,19.94,0.5,2023-12-15
00715L,65733945,7898,856153950,12.95,13.1,12.95,13.03,0.7,2023-12-15
00717,654063,818,9852882,15.03,15.08,15.03,15.07,0.15,2023-12-15
00728,1196271,470,33180323,27.49,27.83,27.49,27.76,0.31,2023-12-15
00730,1387693,654,28392769,20.32,20.52,20.29,20.47,0.26,2023-12-15
00731,588638,199,39836482,68.0,68.0,67.5,67.5,-0.4,2023-12-15
00733,861427,959,49745018,58.5,58.8,57.15,57.45,-0.85,2023-12-15
00735,132368,33,4030080,30.49,30.5,30.39,30.4,0.2,2023-12-15
00736,190005,986,3832464,20.06,20.21,20.06,20.15,0.21,2023-12-15
00737,263289,977,8098136,30.63,30.83,30.63,30.79,0.32,2023-12-15
00738U,589825,193,13409008,22.71,22.8,22.68,22.8,0.28,2023-12-15
00739,43261,974,853441,19.8,19.87,19.69,19.69,-0.06,2023-12-15
00752,3565850,912,59279660,16.39,16.77,16.39,16.61,0.33,2023-12-15
00753L,29640923,3383,216781447,7.21,7.46,7.16,7.29,0.24,2023-12-15
00757,1316804,1777,84722624,64.4,64.45,64.2,64.35,-0.35,2023-12-15
00762,147147,255,7235941,49.24,49.25,49.1,49.13,-0.11,2023-12-15
00763U,320050,69,7674484,23.93,24.05,23.92,24.05,0.36,2023-12-15
