日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/01/04,"233,726,746","22,587,972,258",93.40,100.00,93.30,99.90,+7.90,"115,789"
110/01/05,"234,178,116","24,176,652,664",101.00,105.00,101.00,104.00,+4.10,"114,366"
110/01/06,"222,119,287","23,465,513,766",107.50,109.00,102.00,105.00,+1.00,"114,160"
110/01/07,"114,653,734","12,242,829,524",108.00,108.00,105.50,107.00,+2.00,"59,013"
110/01/08,"115,547,259","12,431,474,200",109.00,109.50,106.00,108.00,+1.00,"61,278"
110/01/11,"70,525,408","7,582,606,654",108.00,109.00,106.50,107.50,-0.50,"39,544"
110/01/12,"106,622,057","11,119,079,660",106.50,107.00,103.00,104.00,-3.50,"56,730"
110/01/13,"83,561,136","8,856,217,204",105.00,107.00,105.00,106.50,+2.50,"40,226"
110/01/14,"321,271,715","36,391,347,707",109.00,117.00,108.00,116.00,+9.50,"141,468"
110/01/15,"171,273,151","19,817,867,014",118.00,119.00,113.00,115.50,-0.50,"86,061"
110/01/18,"95,824,657","10,843,315,189",115.50,116.00,111.00,114.00,-1.50,"52,153"
110/01/19,"95,320,325","10,971,429,720",115.00,116.50,114.00,115.00,+1.00,"45,246"
110/01/20,"133,839,555","15,534,875,651",116.50,118.50,114.00,114.50,-0.50,"62,204"
110/01/21,"88,148,629","10,260,813,496",116.50,117.50,115.00,117.00,+2.50,"41,785"
110/01/22,"222,771,956","26,779,865,039",117.50,121.50,117.00,121.50,+4.50,"108,571"
110/01/25,"144,137,047","17,407,181,744",122.00,124.00,117.50,123.00,+1.50,"70,532"
110/01/26,"129,763,217","15,878,540,462",122.50,125.00,120.00,122.00,-1.00,"64,483"
110/01/27,"100,937,464","12,345,781,130",124.00,124.50,122.50,123.00,+1.00,"41,497"
110/01/28,"126,109,713","15,041,934,387",120.00,121.00,118.00,118.50,-4.50,"67,691"
110/01/29,"182,193,247","20,945,648,631",119.00,120.00,111.50,111.50,-7.00,"94,768"
